Student_ID,Gender,Age,Department,Attendance_%,Study_Hours_per_Week,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Backlogs,Internship,Scholarship,Sports_Activity,Extra_Curricular,Placement_Status
49,Female,20,Mathematics,74.61,14,59.89,95.65,55.55,69.65,39.18,62.73,87.16,C,0,Yes,No,Yes,No,Not Placed
50,Female,19,Engineering,94.03,25,97.46,85.0,90.48,54.95,1.2,59.6,70.36,D,1,Yes,No,No,No,Placed
51,Male,19,Engineering,70.65,41,89.36,66.52,88.03,97.87,96.91,57.27,55.22,D,2,No,No,Yes,Yes,Not Placed
52,Female,18,Mathematics,76.87,19,79.69,49.06,91.02,52.38,53.23,60.0,61.8,A,3,No,No,Yes,Yes,Placed
53,Male,24,Engineering,52.46,27,49.77,88.38,59.52,70.07,77.35,63.36,98.33,A,3,Yes,No,Yes,No,Not Placed
54,Female,23,Mathematics,50.12,18,84.06,67.64,63.58,58.14,25.79,93.44,69.04,A,1,No,Yes,No,No,Placed
55,Male,24,Business,62.24,19,83.62,44.52,64.79,84.44,74.66,88.5,83.18,D,2,Yes,Yes,Yes,Yes,Placed
56,Female,20,Mathematics,84.03,14,65.5,83.14,75.4,53.94,56.72,50.09,68.63,A,3,No,No,No,No,Placed
57,Female,18,Engineering,56.06,13,95.49,57.51,56.69,77.34,42.41,93.71,62.29,A,2,Yes,Yes,No,No,Not Placed
58,Male,21,Business,55.69,43,50.02,42.93,69.27,88.66,97.07,53.94,87.79,D,0,No,Yes,Yes,No,Placed
59,Male,18,Business,70.55,9,56.04,94.17,59.11,97.5,49.38,82.76,90.9,D,3,No,Yes,Yes,No,Placed
60,Male,22,CS,82.39,29,43.79,68.99,63.24,84.93,65.75,57.57,44.31,A,3,No,Yes,No,Yes,Not Placed
61,Male,18,CS,85.6,30,87.73,56.86,85.32,54.97,1.53,53.11,56.74,A,2,No,Yes,Yes,Yes,Placed
62,Male,24,Engineering,58.92,12,77.31,82.98,92.74,54.43,30.15,87.99,70.47,A,3,Yes,Yes,No,Yes,Placed
63,Male,22,Mathematics,53.98,26,58.9,93.15,51.15,86.58,88.87,73.36,58.99,D,0,Yes,No,No,No,Not Placed
64,Male,22,Mathematics,97.02,29,49.83,40.02,78.29,60.77,75.9,79.95,87.01,F,3,Yes,Yes,No,Yes,Not Placed
65,Male,22,Engineering,63.03,16,42.41,81.27,51.8,72.36,53.68,71.27,46.88,B,1,Yes,No,No,Yes,Not Placed
66,Female,21,Business,92.67,13,50.0,86.02,54.26,98.83,90.02,53.36,87.87,C,3,Yes,Yes,Yes,Yes,Placed
67,Female,18,Engineering,93.17,14,67.2,52.6,85.25,91.0,48.62,86.98,77.07,B,1,No,No,Yes,Yes,Placed
68,Male,24,Engineering,88.63,14,54.83,69.38,86.78,92.33,56.65,91.02,57.36,D,3,Yes,No,Yes,Yes,Placed
69,Female,18,Business,58.44,13,55.54,45.36,90.7,93.04,38.22,52.07,60.67,F,3,Yes,No,Yes,Yes,Placed
70,Female,21,Mathematics,91.09,30,92.53,84.8,73.71,80.98,62.0,68.79,50.97,D,3,No,Yes,No,Yes,Placed
71,Female,20,Engineering,88.46,39,70.91,90.85,92.99,87.2,31.9,77.87,55.15,A,2,Yes,Yes,Yes,No,Not Placed
72,Female,19,Mathematics,79.84,31,83.76,46.49,58.34,67.95,38.55,80.26,83.04,C,3,Yes,No,No,No,Placed
73,Male,24,Engineering,66.86,35,42.14,88.99,62.49,99.92,96.63,78.91,62.55,B,3,Yes,No,Yes,Yes,Not Placed
74,Female,24,Business,63.13,23,61.91,86.29,56.73,63.98,11.13,84.65,81.25,D,0,No,Yes,Yes,No,Placed
75,Male,18,Business,56.09,42,68.75,60.81,89.88,79.5,10.53,98.34,70.85,F,0,Yes,No,No,Yes,Not Placed
76,Female,19,CS,75.49,10,51.19,81.42,61.43,64.1,4.33,69.53,48.72,A,1,No,Yes,Yes,No,Placed
77,Female,23,Business,79.26,19,47.21,40.0,57.78,55.6,32.0,77.83,69.94,F,2,No,No,Yes,Yes,Placed
78,Female,23,CS,67.97,33,92.22,95.91,81.16,78.38,39.82,84.95,85.39,C,0,No,Yes,No,Yes,Placed
79,Male,21,Engineering,73.77,9,96.37,73.02,53.85,67.67,9.45,79.62,57.86,F,0,No,Yes,No,Yes,Not Placed
80,Female,23,Mathematics,68.18,18,44.73,77.22,52.25,79.16,54.91,69.34,78.88,F,2,Yes,Yes,No,No,Not Placed
81,Male,24,Business,82.05,6,60.94,79.88,55.34,77.93,58.33,81.2,51.94,A,1,Yes,No,No,No,Not Placed
82,Female,23,Business,95.06,27,97.5,73.68,50.01,77.11,75.1,82.51,48.14,F,3,Yes,Yes,No,Yes,Not Placed
83,Male,20,Business,58.2,23,44.99,91.41,84.85,56.17,97.6,79.25,61.61,A,3,Yes,No,No,No,Not Placed
84,Female,20,Engineering,69.07,28,78.62,76.58,78.11,72.01,61.94,60.26,63.35,C,3,No,No,No,Yes,Placed
85,Male,20,CS,57.04,24,98.33,94.47,60.49,90.6,11.17,75.3,85.66,D,0,Yes,Yes,No,No,Not Placed
86,Male,23,Engineering,81.25,31,98.69,74.94,61.65,65.76,8.85,94.22,67.6,A,0,Yes,No,No,Yes,Placed
87,Female,21,Mathematics,86.44,28,68.27,50.27,90.55,72.19,77.75,93.43,44.87,D,2,No,No,No,Yes,Not Placed
88,Male,22,Engineering,96.6,21,49.76,94.81,75.09,74.69,65.03,87.54,78.04,B,2,No,No,No,No,Not Placed
89,Female,22,Mathematics,63.94,29,52.13,80.9,84.93,93.14,16.19,84.86,68.16,F,3,Yes,No,Yes,Yes,Not Placed
90,Female,19,Business,97.51,35,93.38,81.95,72.64,82.78,25.34,57.66,59.9,D,3,Yes,No,Yes,Yes,Placed
91,Female,22,Mathematics,53.16,32,94.7,99.13,61.89,55.01,75.02,72.97,88.13,F,3,No,No,No,Yes,Not Placed
92,Female,22,Mathematics,80.15,32,76.47,44.51,98.52,93.26,56.62,55.55,49.26,A,0,No,Yes,Yes,Yes,Placed
93,Female,20,CS,52.86,26,85.97,65.72,78.28,91.6,58.5,90.86,94.79,F,3,No,No,No,No,Placed
94,Female,20,Mathematics,94.69,9,84.4,54.35,56.55,87.68,21.0,64.55,60.04,C,0,No,No,No,Yes,Placed
95,Female,23,Mathematics,76.49,12,79.71,77.83,70.3,73.3,62.91,88.34,67.66,D,3,No,Yes,No,No,Not Placed
96,Female,19,Engineering,83.47,42,89.64,88.41,66.47,87.88,77.06,90.73,95.75,F,2,Yes,Yes,Yes,No,Not Placed
97,Female,18,Business,91.58,32,81.12,97.98,60.7,73.94,88.53,94.62,85.67,D,2,No,No,No,Yes,Not Placed
98,Female,24,Engineering,57.52,16,72.04,67.28,96.67,86.83,73.67,87.69,44.46,D,0,Yes,No,Yes,Yes,Placed
99,Female,19,Engineering,51.93,29,54.22,87.17,94.05,94.01,57.64,78.24,74.7,C,3,Yes,Yes,No,Yes,Not Placed
100,Male,19,Business,93.94,42,84.63,95.02,59.96,94.53,67.33,79.91,58.62,A,3,Yes,Yes,Yes,No,Not Placed
101,Male,21,Business,65.75,19,68.41,81.0,67.61,72.73,48.51,66.03,70.51,F,2,No,Yes,Yes,Yes,Not Placed
102,Female,23,Mathematics,56.45,38,57.69,54.56,88.12,92.97,22.69,58.85,84.58,B,0,Yes,No,No,No,Not Placed
103,Female,21,Mathematics,73.42,17,88.12,76.47,60.43,55.07,88.22,56.53,69.77,D,2,Yes,Yes,Yes,Yes,Not Placed
104,Female,19,CS,79.92,12,81.8,98.2,79.58,55.09,53.26,59.1,44.26,A,0,No,No,Yes,Yes,Not Placed
105,Female,19,Engineering,51.55,17,96.24,99.25,84.99,77.41,59.43,96.7,71.8,B,0,Yes,Yes,No,No,Placed
106,Female,19,Business,63.74,40,49.93,78.54,82.7,82.59,99.01,58.22,41.45,D,2,Yes,No,Yes,Yes,Not Placed
107,Female,22,Mathematics,51.64,10,78.95,93.22,85.32,57.65,98.5,86.19,60.9,B,1,Yes,Yes,Yes,Yes,Placed
108,Female,24,Business,71.02,42,54.65,52.02,85.33,73.61,58.63,59.23,68.68,F,3,Yes,Yes,Yes,Yes,Not Placed
109,Female,24,Mathematics,94.76,36,94.21,54.76,98.24,54.72,3.4,98.76,78.68,F,0,No,No,Yes,No,Not Placed
110,Male,21,CS,99.13,25,45.97,97.17,67.32,80.1,39.61,68.33,70.37,D,3,No,Yes,No,No,Not Placed
111,Female,19,CS,81.85,11,79.37,48.11,93.93,92.75,93.73,70.61,49.12,D,3,Yes,No,Yes,Yes,Placed
112,Male,24,Business,58.08,30,87.47,51.47,51.09,86.88,28.83,70.23,95.93,F,3,No,Yes,Yes,No,Placed
113,Female,20,CS,95.29,19,61.3,65.23,64.41,68.91,99.93,90.82,79.02,A,3,Yes,No,No,No,Not Placed
114,Female,24,Business,75.81,27,97.25,75.38,52.43,99.69,8.43,60.91,59.02,B,1,Yes,No,Yes,Yes,Placed
115,Male,23,Mathematics,57.69,42,91.04,76.23,82.56,83.15,56.81,91.55,97.96,D,1,No,No,Yes,No,Not Placed
116,Female,23,Engineering,96.09,19,57.68,57.52,55.04,90.76,51.54,82.85,92.95,D,3,No,No,Yes,Yes,Not Placed
117,Male,24,CS,87.87,44,40.45,95.24,92.29,83.48,25.54,61.01,48.61,C,2,Yes,No,No,No,Not Placed
118,Female,20,Mathematics,86.59,20,57.8,94.91,82.33,99.47,94.86,53.27,79.33,B,3,Yes,Yes,No,Yes,Placed
119,Female,23,Engineering,85.46,36,56.88,63.52,51.44,91.07,61.92,88.75,73.6,F,0,Yes,No,Yes,No,Placed
120,Male,22,Engineering,60.02,41,93.4,66.06,85.74,75.97,23.02,60.95,51.57,D,3,Yes,No,No,No,Placed
121,Female,24,Engineering,60.55,22,98.03,82.15,93.1,68.34,38.4,94.45,54.01,D,1,Yes,Yes,No,Yes,Placed
122,Male,22,Mathematics,84.41,24,44.23,79.78,83.06,84.11,72.12,56.49,73.83,F,0,No,Yes,Yes,Yes,Placed
123,Female,24,Mathematics,60.99,6,68.28,62.94,51.53,79.51,29.77,80.82,59.28,B,0,Yes,No,Yes,No,Not Placed
124,Male,18,Business,71.93,27,72.9,64.85,92.9,81.47,87.96,84.61,90.09,A,1,No,Yes,No,Yes,Placed
125,Male,18,Engineering,89.1,34,45.57,60.88,86.62,67.15,16.57,82.89,45.86,F,1,No,No,Yes,Yes,Not Placed
126,Female,18,Engineering,89.2,7,62.65,54.12,68.92,71.44,26.45,65.8,94.84,A,0,Yes,Yes,No,Yes,Placed
127,Female,23,Engineering,72.66,43,59.02,67.49,66.43,77.9,14.49,93.78,90.43,D,1,No,Yes,No,Yes,Placed
128,Male,22,Business,89.61,5,72.16,81.19,73.99,91.96,10.42,88.49,84.32,A,1,No,No,No,Yes,Placed
129,Female,22,Engineering,91.93,26,79.67,84.52,93.36,88.15,30.03,75.51,55.75,A,3,Yes,No,Yes,No,Not Placed
130,Female,22,Mathematics,82.74,33,82.21,86.73,62.6,55.93,99.92,80.16,82.9,F,0,No,Yes,No,No,Not Placed
131,Female,20,Engineering,61.42,18,48.21,62.48,55.05,62.28,9.43,78.32,66.33,D,1,No,No,Yes,No,Not Placed
132,Male,22,CS,63.7,32,88.78,85.88,93.23,51.33,21.3,97.33,78.03,B,1,Yes,Yes,Yes,Yes,Placed
133,Male,20,Mathematics,65.74,25,80.71,40.39,51.31,50.4,27.16,94.82,58.75,C,0,Yes,No,No,No,Placed
134,Male,18,Business,55.84,36,93.34,68.62,95.55,61.22,61.91,61.77,90.15,A,3,No,Yes,Yes,Yes,Placed
135,Male,18,Engineering,63.66,10,66.96,87.63,65.29,89.97,74.53,63.14,42.43,D,1,Yes,No,Yes,No,Not Placed
136,Male,23,CS,60.48,5,93.63,77.8,75.41,95.24,75.19,99.07,81.49,C,3,No,No,No,Yes,Not Placed
137,Male,24,Business,72.77,25,91.95,68.44,56.61,69.59,0.86,61.83,89.72,B,3,No,Yes,No,No,Not Placed
138,Male,18,Business,95.42,8,66.3,78.68,95.11,78.16,65.19,97.67,78.79,C,3,No,No,Yes,No,Placed
139,Male,24,Mathematics,55.22,7,62.87,94.42,87.49,85.3,63.07,82.49,51.52,B,2,Yes,Yes,Yes,No,Placed
140,Male,24,Business,86.01,34,95.97,73.98,96.21,97.65,51.77,52.51,57.1,C,0,Yes,No,No,Yes,Placed
141,Female,23,Business,84.36,35,82.91,87.99,84.16,95.65,37.92,66.79,70.89,B,2,Yes,Yes,No,Yes,Placed
142,Male,19,Business,54.79,38,95.69,98.84,59.23,52.86,79.74,73.81,59.77,A,0,Yes,No,Yes,No,Placed
143,Female,19,Business,96.13,23,87.82,82.33,65.41,62.41,34.39,91.65,40.29,C,3,No,No,Yes,Yes,Not Placed
144,Female,21,Engineering,78.42,24,76.56,74.4,74.34,52.46,23.0,66.43,42.44,B,3,Yes,Yes,No,No,Placed
145,Female,23,Engineering,68.19,27,46.95,42.25,80.36,80.83,31.01,65.53,86.07,D,3,Yes,Yes,No,No,Not Placed
146,Male,21,Engineering,87.83,44,57.49,62.47,96.32,85.52,43.96,96.01,45.02,F,3,Yes,No,No,No,Not Placed
147,Male,21,Engineering,62.87,29,98.13,73.93,69.2,65.41,21.41,53.95,95.68,C,3,No,Yes,Yes,No,Not Placed
148,Male,19,CS,84.68,19,59.17,87.83,85.15,92.69,60.76,77.58,66.56,C,2,No,No,Yes,No,Not Placed
149,Male,23,Engineering,51.99,42,45.6,66.29,98.05,72.64,88.42,75.21,85.49,C,3,No,Yes,Yes,No,Placed
150,Female,19,Business,91.97,27,82.45,97.6,57.62,99.92,59.55,52.87,47.53,C,3,Yes,No,Yes,Yes,Placed
151,Male,21,Engineering,72.41,6,84.04,56.31,93.14,50.02,44.67,54.39,95.59,F,3,No,Yes,Yes,Yes,Not Placed
152,Male,23,Engineering,81.83,19,57.13,84.67,71.04,55.47,79.69,69.1,42.03,C,2,No,No,Yes,No,Not Placed
153,Male,21,Mathematics,61.06,39,57.86,65.14,86.62,65.09,74.8,56.71,42.53,A,1,Yes,Yes,No,Yes,Not Placed
154,Male,22,Business,83.85,14,68.13,69.16,64.68,51.28,36.71,73.9,43.28,A,0,No,No,No,Yes,Not Placed
155,Male,24,Engineering,88.61,18,41.31,88.15,66.7,89.12,60.42,80.44,46.2,D,0,No,Yes,Yes,No,Placed
156,Female,23,Engineering,73.66,31,87.36,57.77,51.36,52.64,72.98,84.57,69.21,F,1,No,Yes,Yes,No,Placed
157,Male,23,Engineering,80.89,18,59.03,45.81,98.57,87.45,24.55,77.32,87.3,D,1,No,Yes,No,No,Placed
158,Female,24,CS,72.82,39,91.23,71.22,90.67,52.63,36.63,68.98,57.1,A,2,Yes,No,No,Yes,Placed
159,Male,21,Engineering,94.7,37,88.16,71.73,54.7,62.64,10.58,56.49,84.75,C,0,Yes,Yes,No,No,Not Placed
160,Female,22,Mathematics,74.89,5,79.68,87.83,99.98,92.06,98.77,62.37,86.44,C,1,No,Yes,Yes,Yes,Placed
161,Male,20,Business,92.09,38,59.49,98.1,80.25,97.55,8.59,70.97,94.5,B,1,Yes,Yes,Yes,No,Not Placed
162,Male,24,Business,90.07,23,70.98,43.32,92.69,70.73,16.86,96.21,48.96,F,2,No,No,Yes,Yes,Not Placed
163,Female,19,Engineering,70.53,28,66.69,75.5,53.33,98.5,47.98,60.13,48.13,B,2,Yes,No,No,No,Placed
164,Female,21,Engineering,61.5,8,60.33,80.88,69.47,81.34,86.53,70.67,47.33,F,3,No,Yes,No,Yes,Placed
165,Female,24,Engineering,70.3,40,90.89,99.15,83.48,70.79,35.59,86.62,61.56,F,1,No,No,No,Yes,Not Placed
166,Male,24,Business,91.31,17,69.01,96.56,55.32,90.14,76.86,85.26,69.36,C,2,Yes,Yes,Yes,Yes,Placed
167,Female,23,Business,61.38,36,89.96,82.75,74.45,64.77,67.6,98.28,67.7,C,0,No,Yes,No,Yes,Not Placed
168,Male,19,CS,76.22,13,46.31,71.31,72.13,63.29,63.87,59.55,55.42,D,2,Yes,No,Yes,Yes,Placed
169,Male,19,Mathematics,90.3,43,48.46,49.69,60.8,82.83,84.5,50.83,77.32,A,0,Yes,Yes,Yes,No,Not Placed
170,Female,19,CS,67.67,20,98.64,63.05,65.01,69.52,1.42,66.12,60.3,A,3,No,Yes,Yes,Yes,Placed
171,Female,24,Mathematics,82.11,7,75.27,75.11,98.36,56.8,92.92,57.48,61.96,C,1,Yes,Yes,No,No,Placed
172,Male,20,CS,62.28,24,70.59,83.51,64.43,53.35,82.92,77.42,46.33,A,1,Yes,No,Yes,Yes,Not Placed
173,Male,18,Business,55.46,14,71.39,78.12,60.67,89.39,93.79,94.94,75.53,F,2,No,No,Yes,No,Placed
174,Female,21,CS,89.72,26,52.92,82.85,76.81,83.8,79.36,84.41,79.32,A,3,No,Yes,Yes,Yes,Not Placed
175,Female,18,Mathematics,54.95,7,83.12,65.75,83.55,70.59,87.86,56.79,85.48,D,1,Yes,Yes,Yes,Yes,Not Placed
176,Female,24,Engineering,63.57,15,45.09,83.66,86.25,94.81,20.31,55.8,94.24,A,2,No,No,No,No,Placed
177,Male,18,Mathematics,92.76,29,74.4,48.62,87.71,70.54,31.92,95.57,85.96,A,2,Yes,No,Yes,Yes,Placed
178,Male,24,Engineering,67.32,12,74.25,49.76,51.84,85.51,31.52,74.38,54.14,D,2,No,No,Yes,Yes,Not Placed
179,Male,18,Business,98.65,13,94.85,49.77,69.69,95.46,10.92,96.18,54.14,D,2,No,No,Yes,Yes,Placed
180,Male,19,Mathematics,98.99,19,71.57,93.45,88.7,92.04,72.96,86.81,94.91,C,0,No,Yes,No,No,Not Placed
181,Male,22,CS,63.41,36,48.22,44.56,95.24,75.56,13.62,99.67,87.41,D,3,No,No,No,Yes,Not Placed
182,Male,19,Mathematics,52.05,7,74.37,88.09,80.11,84.03,5.25,93.56,86.93,C,0,Yes,Yes,Yes,No,Placed
183,Female,19,Engineering,85.25,8,45.48,54.01,52.62,70.68,77.54,70.71,83.18,F,1,No,Yes,No,Yes,Not Placed
184,Male,23,Business,72.55,34,52.23,68.11,69.83,82.36,90.47,87.91,56.03,B,3,No,Yes,Yes,Yes,Placed
185,Male,23,CS,55.04,17,41.87,94.96,53.71,62.88,76.41,73.56,90.84,A,2,No,No,No,Yes,Not Placed
186,Male,18,Mathematics,85.38,25,70.8,75.16,87.43,71.74,82.54,61.65,48.57,D,1,Yes,No,No,Yes,Placed
187,Female,24,Engineering,51.56,23,45.07,52.61,53.18,60.48,59.56,62.05,61.0,A,2,No,No,No,Yes,Placed
188,Male,19,CS,93.51,43,68.16,57.05,59.29,51.91,88.77,69.87,60.79,F,1,Yes,No,Yes,Yes,Placed
189,Male,18,Business,56.93,26,95.98,95.23,70.85,79.43,49.67,55.57,73.61,B,3,No,No,No,No,Placed
190,Female,23,CS,56.37,24,83.19,65.63,73.13,93.22,98.83,58.89,67.81,D,3,Yes,Yes,No,No,Placed
191,Male,22,Business,58.78,41,44.64,75.22,70.32,51.28,10.34,75.03,67.59,C,0,Yes,No,Yes,No,Placed
192,Male,21,CS,98.01,35,53.45,67.6,73.17,59.8,80.92,97.7,73.21,C,3,Yes,Yes,Yes,Yes,Not Placed
193,Male,18,Mathematics,84.66,14,80.42,62.71,85.66,73.01,64.14,78.88,64.93,D,1,Yes,Yes,No,No,Placed
194,Male,22,Engineering,90.07,22,93.68,53.4,68.46,83.29,58.06,70.42,55.0,D,3,Yes,No,No,Yes,Placed
195,Male,21,Mathematics,69.88,43,41.98,81.17,77.39,58.56,72.58,62.14,79.85,F,3,Yes,No,No,No,Placed
196,Female,20,Mathematics,66.82,24,88.75,83.09,65.17,52.83,84.03,59.8,87.44,B,3,No,Yes,No,No,Not Placed
197,Female,18,Business,61.72,22,73.71,56.49,67.68,75.95,86.29,82.92,68.74,D,2,No,No,No,No,Not Placed
198,Female,18,Business,74.03,15,72.77,87.34,80.69,90.94,17.54,92.42,78.97,C,2,Yes,Yes,Yes,Yes,Placed
199,Male,20,Business,77.59,26,97.47,91.27,74.52,51.76,19.7,69.94,72.12,B,3,No,Yes,No,Yes,Not Placed
200,Male,20,Mathematics,81.59,22,84.86,95.24,86.15,67.47,1.62,77.53,43.54,D,1,Yes,No,Yes,Yes,Not Placed
201,Male,18,CS,62.86,38,91.01,49.67,78.03,83.18,13.18,85.34,65.39,B,3,Yes,Yes,No,Yes,Placed
202,Female,20,CS,97.43,27,61.24,58.24,90.18,56.54,26.39,52.91,40.59,F,1,No,Yes,No,No,Placed
203,Male,19,Mathematics,58.49,5,73.26,91.62,72.17,61.8,72.1,67.54,79.71,D,3,Yes,No,No,No,Not Placed
204,Male,21,Mathematics,98.28,14,76.92,51.91,74.55,76.77,47.58,86.49,70.49,D,2,No,Yes,Yes,Yes,Placed
205,Female,21,Engineering,50.74,5,59.3,40.21,83.5,97.66,75.79,84.23,47.61,B,1,No,No,Yes,No,Placed
206,Male,21,Business,74.06,42,74.21,92.25,61.06,64.37,48.65,52.67,72.53,D,0,No,No,No,Yes,Placed
